index,SMILES
E1,O=C(OC/C=C/C1=CC=CC=C1)OC
E2,O=C(OC/C=C/C1=CC=C(OC)C=C1)OC
E3,BrC(C=C1)=CC=C1/C=C/COC(OC)=O
E4,O=C(OC/C=C/C1=CC(C)=CC=C1)OC
E5,O=C(OC/C=C/C1=CC(C=CC=C2)=C2C=C1)OC
E6,O=C(OC/C=C/C1=CC=CC=C1OC)OC
E7,O=C(OC/C=C/C1=CC=CO1)OC
E8,CCCC/C=C/COC(OC)=O
E9,O=C(OC/C=C/C1CCCCC1)OC
E10,CCCCCCC/C=C/COC(OC)=O
E11,CC(C)(C)OC(=O)OC/C=C/c1ccccc1
E12,COc1ccc(/C=C/COC(=O)OC(C)(C)C)cc1
E13,CC(C)(C)OC(=O)OC/C=C/c1ccc(Br)cc1
E14,CC(C)(C)OC(=O)OC/C=C/c1ccc(C(F)(F)F)cc1
E15,COc1ccccc1/C=C/COC(=O)OC(C)(C)C
E16,CC(C)(C)OC(=O)OC/C=C/c1ccco1
E17,C/C=C/C=C/COC(=O)OC(C)(C)C
E18,CCC/C=C/COC(=O)OC(C)(C)C
E19,O=C(OC(C)(C)C)OC/C=C/COCC1=CC=CC=C1
E20,CC(C)(OC(OC/C=C/C1CCCCC1)=O)C
E21,COc1cccc(/C=C/COC(=O)OC(C)(C)C)c1
L1,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4
L2,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4
N1,C12=CC=CC=C1N=CN2
N2,C12=CC=CC=C1N=C(C3=CC=CC=C3)N2
N3,CC1=NC2=CC=CC=C2N1
N4,ClC1=NC2=CC=CC=C2N1
N5,OCC1=NC2=CC=CC=C2N1
N6,C1=CN=CN1
N7,C1(C2=CC=CC=C2)=C(N=CN1)C3=CC=CC=C3
N8,C1(C2=CC=CC=C2)=NC=CN1
N9,C1(C2=CC=CC=C2)=CNC=N1
N10,ClC1=C2C(NC=N2)=NC=N1
N11,CSC1=C2C(NC=N2)=NC=N1
N12,NC1=C2C(NC=N2)=NC=N1
N13,CC(OC(N(C1=C2C(NC=N2)=NC=N1)C(OC(C)(C)C)=O)=O)(C)C
N14,ClC1=C2C(NC=N2)=NC(N)=N1
N15,CCOC(=O)c1cc2ccccc2[nH]1
N16,CCOC(=O)c1cc2cc(OC)ccc2[nH]1
N17,CCOC(=O)c1cc2cc(F)ccc2[nH]1
N18,CCOC(=O)c1cc2cc(Cl)ccc2[nH]1
N19,CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1
N20,O=Cc1cc2ccccc2[nH]1
N21,COC(=O)c1c[nH]c2ccccc12
N22,O=Cc1c[nH]c2ccccc12
N23,COCc1c[nH]c2ccccc12
N24,N#Cc1c[nH]c2ccccc12
N25,c1ccc(-c2c[nH]c3ccccc23)cc1
N26,Cc1c(C=O)[nH]c2ccccc12
N27,O=Cc1c(-c2ccccc2)[nH]c2ccccc12
N28,c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1
N29,Cc1c(-c2ccccc2)[nH]c2ccccc12
N30,c1ccc2c3c([nH]c2c1)CCCC3
E22,COC(=O)OC/C=C/c1ccc(C)c(C)c1
E23,COC(=O)OC/C=C/c1cccc(Cl)c1
E24,COC(=O)OC/C=C/c1ccccc1C
E25,COC(=O)OC/C=C/c1ccccc1F
E26,COC(=O)OC/C=C/c1ccc(F)cc1
E27,COC(=O)OC/C=C/c1ccccc1Cl
E28,COC(=O)OC/C=C/c1cc(C)cc(C)c1
E29,COC(=O)OC/C=C/c1ccc(C(F)(F)F)cc1
E30,COC(=O)OC/C=C/c1ccc(Cl)cc1
E31,COC(=O)OC/C=C/c1ccc(C)cc1
N31,CC(=O)c1c[nH]c2ccccc12
